plasma_source,material,nozzle,thickness,gauge,cut_height,pierce_height,pierce_delay,current,feed,volts,kerf_width,metric,quality
Powermax 65,Aluminum,Standard,,4 mm,0.06,0.15,0.5,65,236.2204724,126,0.059055118,1,High Quality
Powermax 65,Aluminum,Standard,,6 mm,0.06,0.15,0.5,65,125.984252,130,0.062992126,1,High Quality
Powermax 65,Aluminum,Standard,,8 mm,0.06,0.15,0.7,65,72.83464567,133,0.066929134,1,High Quality
Powermax 65,Aluminum,Standard,,10 mm,0.06,0.18,0.7,65,47.24409449,136,0.07480315,1,High Quality
Powermax 65,Aluminum,Standard,,12 mm,0.06,0.18,1.2,65,39.37007874,138,0.078740158,1,High Quality
Powermax 65,Aluminum,Standard,,16 mm,0.06,0,0,65,25.59055118,143,0.098425197,1,High Quality
Powermax 65,Aluminum,Standard,,20 mm,0.06,0,0,65,14.96062992,147,0.098425197,1,High Quality
Powermax 65,Aluminum,Standard,,2 mm,0.06,0.15,0.1,65,405.511811,122,0.051181102,1,Production
Powermax 65,Aluminum,Standard,,3 mm,0.06,0.15,0.2,65,346.4566929,124,0.059055118,1,Production
Powermax 65,Aluminum,Standard,,4 mm,0.06,0.15,0.5,65,289.3700787,125,0.059055118,1,Production
Powermax 65,Aluminum,Standard,,6 mm,0.06,0.15,0.5,65,173.2283465,128,0.062992126,1,Production
Powermax 65,Aluminum,Standard,,8 mm,0.06,0.15,0.7,65,108.2677165,130,0.066929134,1,Production
Powermax 65,Aluminum,Standard,,10 mm,0.06,0.18,0.7,65,64.96062992,132,0.07480315,1,Production
Powermax 65,Aluminum,Standard,,12 mm,0.06,0.18,1.2,65,52.36220472,136,0.078740158,1,Production
Powermax 65,Aluminum,Standard,,16 mm,0.06,0,0,65,31.49606299,141,0.098425197,1,Production
Powermax 65,Aluminum,Standard,,20 mm,0.06,0,0,65,22.04724409,145,0.098425197,1,Production
Powermax 45 XP,Stainless Steel,FineCut,0.0187,26 GA,0.02,0.08,0,30,150,69,0.028,0,High Quality
Powermax 45 XP,Stainless Steel,FineCut,0.025,24 GA,0.02,0.08,0,30,150,69,0.028,0,High Quality
Powermax 45 XP,Stainless Steel,FineCut,0.0312,22 GA,0.02,0.08,0.1,30,150,69,0.025,0,High Quality
Powermax 45 XP,Stainless Steel,FineCut,0.0375,20 GA,0.02,0.08,0.1,30,150,69,0.023,0,High Quality
Powermax 45 XP,Stainless Steel,FineCut,0.05,18 GA,0.02,0.08,0.2,40,145,69,0.023,0,High Quality
Powermax 45 XP,Stainless Steel,FineCut,0.0625,16 GA,0.02,0.08,0.4,40,115,69,0.022,0,High Quality
Powermax 45 XP,Stainless Steel,FineCut,0.0781,14 GA,0.02,0.08,0.4,40,110,69,0.021,0,High Quality
Powermax 45 XP,Stainless Steel,FineCut,0.1093,12 GA,0.02,0.08,0.5,45,120,80,0.049,0,High Quality
Powermax 45 XP,Stainless Steel,FineCut,0.1406,10 GA,0.02,0.08,0.6,45,75,80,0.055,0,High Quality
Powermax 45 XP,Stainless Steel,FineCut,,0.5 mm,0.02,0.08,0,30,149.6062992,78,0.027559055,1,High Quality
Powermax 45 XP,Stainless Steel,FineCut,,0.6 mm,0.02,0.08,0,30,149.6062992,78,0.027559055,1,High Quality
Powermax 45 XP,Stainless Steel,FineCut,,0.8 mm,0.02,0.08,0.1,30,149.6062992,78,0.027559055,1,High Quality
Powermax 45 XP,Stainless Steel,FineCut,,1 mm,0.02,0.08,0.2,40,149.6062992,78,0.023622047,1,High Quality
Powermax 45 XP,Stainless Steel,FineCut,,1.5 mm,0.02,0.08,0.4,40,114.1732283,78,0.019685039,1,High Quality
Powermax 45 XP,Stainless Steel,FineCut,,2 mm,0.02,0.08,0.4,40,108.2677165,78,0.051181102,1,High Quality
Powermax 45 XP,Stainless Steel,FineCut,,3 mm,0.02,0.08,0.5,45,100.3937008,78,0.05511811,1,High Quality
Powermax 45 XP,Stainless Steel,FineCut,,4 mm,0.02,0.08,0.6,45,41.33858268,78,0.059055118,1,High Quality
Powermax 85,Mild Steel,Standard,0.1345,10 GA,0.06,0.15,0.2,85,250,122,0.057,0,High Quality
Powermax 85,Mild Steel,Standard,,"3/16""",0.06,0.15,0.2,85,185,123,0.059,0,High Quality
Powermax 85,Mild Steel,Standard,,"1/4""",0.06,0.15,0.5,85,130,123,0.061,0,High Quality
Powermax 85,Mild Steel,Standard,,"3/8""",0.06,0.15,0.5,85,70,126,0.069,0,High Quality
Powermax 85,Mild Steel,Standard,,"1/2""",0.06,0.18,0.5,85,45,131,0.077,0,High Quality
Powermax 85,Mild Steel,Standard,,"5/8""",0.06,0.18,1,85,35,134,0.082,0,High Quality
Powermax 85,Mild Steel,Standard,,"3/4""",0.06,0.24,1.5,85,24,136,0.086,0,High Quality
Powermax 85,Mild Steel,Standard,,"7/8""",0.06,0,0,85,19,139,0.103,0,High Quality
Powermax 85,Mild Steel,Standard,,"1""",0.06,0,0,85,13,142,0.119,0,High Quality
Powermax 85,Mild Steel,Standard,,"1-1/8""",0.06,0,0,85,9,145,0.119,0,High Quality
Powermax 85,Mild Steel,Standard,,"1-1/4""",0.06,0,0,85,7,148,0.119,0,High Quality
Powermax 85,Mild Steel,Standard,0.1345,10 GA,0.06,0.15,0.2,85,336,121,0.057,0,Production
Powermax 85,Mild Steel,Standard,,"3/16""",0.06,0.15,0.2,85,220,123,0.059,0,Production
Powermax 85,Mild Steel,Standard,,"1/4""",0.06,0.15,0.5,85,160,126,0.061,0,Production
Powermax 85,Mild Steel,Standard,,"3/8""",0.06,0.15,0.5,85,86,127,0.069,0,Production
Powermax 85,Mild Steel,Standard,,"1/2""",0.06,0.18,0.5,85,56,131,0.077,0,Production
Powermax 85,Mild Steel,Standard,,"5/8""",0.06,0.18,1,85,37,133,0.082,0,Production
Powermax 85,Mild Steel,Standard,,"3/4""",0.06,0.24,1.5,85,29,135,0.086,0,Production
Powermax 85,Mild Steel,Standard,,"7/8""",0.06,0,0,85,22,138,0.103,0,Production
Powermax 85,Mild Steel,Standard,,"1""",0.06,0,0,85,17,141,0.119,0,Production
Powermax 85,Mild Steel,Standard,,"1-1/8""",0.06,0,0,85,13,143,0.119,0,Production
Powermax 85,Mild Steel,Standard,,"1-1/4""",0.06,0,0,85,10,146,0.119,0,Production
Powermax 85,Mild Steel,Standard,,3 mm,0.06,0.149606,0.1,85,362.2047244,120,0.05511811,1,Production
Powermax 85,Mild Steel,Standard,,4 mm,0.06,0.149606,0.2,85,287.4015748,122,0.059055118,1,Production
Powermax 85,Mild Steel,Standard,,6 mm,0.06,0.149606,0.5,85,173.2283465,125,0.059055118,1,Production
Powermax 85,Mild Steel,Standard,,8 mm,0.06,0.149606,0.5,85,122.0472441,127,0.066929134,1,Production
Powermax 85,Mild Steel,Standard,,10 mm,0.06,0.149606,0.5,85,81.49606299,128,0.070866142,1,Production
Powermax 85,Mild Steel,Standard,,12 mm,0.06,0.177165,0.7,85,62.99212598,130,0.07480315,1,Production
Powermax 85,Mild Steel,Standard,,16 mm,0.06,0.177165,1,85,36.61417323,133,0.082677165,1,Production
Powermax 85,Mild Steel,Standard,,20 mm,0.06,0.23622,1.5,85,26.77165354,136,0.090551181,1,Production
